Team #,Floor Tiles,Cubes,Skyrise Cubes,Skyrise,Auton
0920B,3,0,0,0,0
9378X,0,0,0,0,6
0674G,0,0,0,0,0
3495E,1.5,0.5,0,0,0
0254A,1,0,0,1,0
0021B,0,2,0,0,1
5327C,0,0,4,5,10
5655B,2,0,0,0,0
4649D,1,1.5,1,3,1
3947A,2,1,0,0,0
5776y,0,0,2,4,0
0254g,0,5,0,0,10
0824d,3,0,0,0,0
6606,0,1,0,0,1
4033d,0,1,1,0,0
0824b,0,4,0,0,0
4649c,3,0,0,0,0
5327a,1,0,0,0,4
6869,0,0,0,0,10
0824C,4,0,0,0,0
0254C,1,2,0,4,10
0824E,0,6.666666667,0,0,0
7170A,0,0,0,0,2
4033B,1,0,2,4,1
5675J,0,0,0,0,1
3947C,0,0,0,0,0
4768B,1,1.5,1,0,1
4768,0,0,0.5,5,0.5
21 D ,0,2,0,0,0
5327D,0,1.5,0,1,0.5
7579C,0,0,0.5,3,0
5776,0,1,0,0,0
8000B,0,1.5,0,0,1
8000,0,10,0,0,0
2059A,0,0,0,0,0
0920D,1,0,0,1,0
0824B,4,1,0,0,0
7579,0,0,1,4,0
5675K,0,4,0,0,0
0254B,0,2,0,0,0
4768C,0,0,0,4,0
0824A,2,0,0,0,0
5327A,0,0,1,3,1
0254E,0,0,0,4,1
7579B,0,0.3333333333,0.3333333333,0.6666666667,1.333333333
4768D,0,3,0,0,0
0920C,0,0,0,0,0
4649B,4,0,0,0,0
1000A,0,0,0,0,0
0920A,0,0,0,0,2
3947D,0,0,0,0,0
0021D,1,1,0,0,1